,Row,Sample Name,Transaction Id,Anon Student Id,Session Id,Time,Time Zone,Duration (sec),Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Unit),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Is Last Attempt,Outcome,Selection,Action,Input,Feedback Text,Feedback Classification,Help Level,Total Num Hints,KC (Geometry),KC Category (Geometry),KC (Textbook),KC Category (Textbook),KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),KC (NewModel),KC Category (NewModel),KC (NNEWWW),KC Category (NNEWWW),KC (New),KC Category (New),KC (MyKC),KC Category (MyKC),KC (MJB-SQRECT-Merge),KC Category (MJB-SQRECT-Merge),KC (KRE_circle_area),KC Category (KRE_circle_area),KC (Textbook-test),KC Category (Textbook-test),KC (Khushboo),KC Category (Khushboo),KC (Zhulin_Textbook11_SquareRectMerge),KC Category (Zhulin_Textbook11_SquareRectMerge),KC (new KC model name),KC Category (new KC model name),School,Class,CF (Factor add-or-m),CF (Factor backward),CF (Factor base-formula-p),CF (Factor base-or-height),CF (Factor basic-shape),CF (Factor cir-quad),CF (Factor circle-formula),CF (Factor circle-given),CF (Factor circle-goal),CF (Factor embedd3-tri-reg_prob_fix),CF (Factor embeddedness),CF (Factor figure-part),CF (Factor figure-type),CF (Factor non-standard-orientation-or-shape),CF (Factor parallelogram),CF (Factor parallelogram-type),CF (Factor repeat),CF (Factor required),CF (Factor trapezoid-part),KC (Unique-step)_isoriginal,KC (new KC model name)_isoriginal
6069,6070,All Data,5cc984a6f7fa29c372621578c3637b64,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:07,US/Eastern,11.00193653,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(SCRAP-METAL-AREA QUESTION1),1,0,INCORRECT,(SCRAP-METAL-AREA QUESTION1),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC104,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,repeat,required,0,Yes,Yes
6069,6070,All Data,5cc984a6f7fa29c372621578c3637b64,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:07,US/Eastern,9.711460824,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(SCRAP-METAL-AREA QUESTION1),2,1,CORRECT,(SCRAP-METAL-AREA QUESTION1),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC104,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,repeat,required,0,Yes,Yes
6071,6072,All Data,e7c643ed7ee77057c12b82094cd61aeb,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:07,US/Eastern,10.69054497,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(SCRAP-METAL-AREA QUESTION2),1,1,CORRECT,(SCRAP-METAL-AREA QUESTION2),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC84,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,repeat,required,0,Yes,Yes
6072,6073,All Data,7c250c6f9dcc0fe0409c8a4aaf7c2b98,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:07,US/Eastern,8.839995972,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(SCRAP-METAL-AREA QUESTION3),1,1,CORRECT,(SCRAP-METAL-AREA QUESTION3),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC7,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,initial,required,0,Yes,Yes
823,824,All Data,2364feef7e26c0d3ac74bf185436648d,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:00,US/Eastern,14.46232249,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(WALL-AREA QUESTION1),1,0,INCORRECT,(WALL-AREA QUESTION1),,,,,,,Geometry,,rectangle-area,,Single-KC,,KC28,,square-rect-area,,rectangle-area,,square-rect-area,,rectangle-area,,sq_rect-area,,rectangle-area,,rectangle-area,,area,,square-rect-area,,,,,,0,0,f,0,parallelogram,quad,0,0,0,0,alone,area,rectangle,0,1,rectangle,initial,additional,0,No,
823,824,All Data,2364feef7e26c0d3ac74bf185436648d,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:00,US/Eastern,16.0263798,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(WALL-AREA QUESTION1),2,1,CORRECT,(WALL-AREA QUESTION1),,,,,,,Geometry,,rectangle-area,,Single-KC,,KC28,,square-rect-area,,rectangle-area,,square-rect-area,,rectangle-area,,sq_rect-area,,rectangle-area,,rectangle-area,,area,,square-rect-area,,,,,,0,0,f,0,parallelogram,quad,0,0,0,0,alone,area,rectangle,0,1,rectangle,initial,additional,0,No,
825,826,All Data,b6b2655ac5066725188ad6c83c15ffce,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:01,US/Eastern,17.25358524,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(PAINTED-AREA QUESTION1),1,0,INCORRECT,(PAINTED-AREA QUESTION1),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC126,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,trapezoid-area,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,repeat,additional,0,No,
825,826,All Data,b6b2655ac5066725188ad6c83c15ffce,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:01,US/Eastern,14.72578756,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(PAINTED-AREA QUESTION1),2,0,INCORRECT,(PAINTED-AREA QUESTION1),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC126,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,trapezoid-area,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,repeat,additional,0,No,
825,826,All Data,b6b2655ac5066725188ad6c83c15ffce,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:01,US/Eastern,17.962532,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(PAINTED-AREA QUESTION1),3,0,INCORRECT,(PAINTED-AREA QUESTION1),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC126,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,trapezoid-area,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,repeat,additional,0,No,
825,826,All Data,b6b2655ac5066725188ad6c83c15ffce,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:01,US/Eastern,17.70889678,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(PAINTED-AREA QUESTION1),4,1,CORRECT,(PAINTED-AREA QUESTION1),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC126,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,trapezoid-area,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,repeat,additional,0,No,
827,828,All Data,7427cd794d5e898f59f893b39a8e6e2d,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:02,US/Eastern,14.04266613,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(DOOR-AREA QUESTION2),1,1,CORRECT,(DOOR-AREA QUESTION2),,,,,,,Geometry,,rectangle-area,,Single-KC,,KC114,,square-rect-area,,rectangle-area,,square-rect-area,,rectangle-area,,sq_rect-area,,rectangle-area,,rectangle-area,,area,,square-rect-area,,trapezoid-area,,,,0,0,f,0,parallelogram,quad,0,0,0,0,embedded,area,rectangle,0,1,rectangle,repeat,additional,0,No,
828,829,All Data,96eede72822a018e059bc9a51fd7ffef,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:02,US/Eastern,16.20482694,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(WALL-AREA QUESTION2),1,0,INCORRECT,(WALL-AREA QUESTION2),,,,,,,Geometry,,rectangle-area,,Single-KC,,KC108,,square-rect-area,,rectangle-area,,square-rect-area,,rectangle-area,,sq_rect-area,,rectangle-area,,rectangle-area,,area,,square-rect-area,,trapezoid-area,,,,0,0,f,0,parallelogram,quad,0,0,0,0,embedded,area,rectangle,0,1,rectangle,repeat,additional,0,No,
828,829,All Data,96eede72822a018e059bc9a51fd7ffef,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:02,US/Eastern,14.66912256,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(WALL-AREA QUESTION2),2,0,INCORRECT,(WALL-AREA QUESTION2),,,,,,,Geometry,,rectangle-area,,Single-KC,,KC108,,square-rect-area,,rectangle-area,,square-rect-area,,rectangle-area,,sq_rect-area,,rectangle-area,,rectangle-area,,area,,square-rect-area,,trapezoid-area,,,,0,0,f,0,parallelogram,quad,0,0,0,0,embedded,area,rectangle,0,1,rectangle,repeat,additional,0,No,
828,829,All Data,96eede72822a018e059bc9a51fd7ffef,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:03,US/Eastern,15.57787403,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(WALL-AREA QUESTION2),3,1,CORRECT,(WALL-AREA QUESTION2),,,,,,,Geometry,,rectangle-area,,Single-KC,,KC108,,square-rect-area,,rectangle-area,,square-rect-area,,rectangle-area,,sq_rect-area,,rectangle-area,,rectangle-area,,area,,square-rect-area,,trapezoid-area,,,,0,0,f,0,parallelogram,quad,0,0,0,0,embedded,area,rectangle,0,1,rectangle,repeat,additional,0,No,
829,830,All Data,b8c45957af582279764de7d5a6241496,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:03,US/Eastern,17.03169807,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(WALL-AREA QUESTION3),1,1,CORRECT,(WALL-AREA QUESTION3),,,,,,,Geometry,,rectangle-area,,Single-KC,,KC41,,square-rect-area,,rectangle-area,,square-rect-area,,rectangle-area,,sq_rect-area,,rectangle-area,,rectangle-area,,area,,square-rect-area,,trapezoid-area,,,,0,0,f,0,parallelogram,quad,0,0,0,0,embedded,area,rectangle,0,1,rectangle,repeat,additional,0,No,
830,831,All Data,9643f5b5eef246bd5cf7c7a788521d04,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:03,US/Eastern,15.07758804,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(PAINTED-AREA QUESTION2),1,1,CORRECT,(PAINTED-AREA QUESTION2),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC76,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,repeat,additional,0,No,
831,832,All Data,62bee0c1738f9516bacf2f04efb910e1,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:03,US/Eastern,16.32888528,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(DOOR-AREA QUESTION3),1,1,CORRECT,(DOOR-AREA QUESTION3),,,,,,,Geometry,,rectangle-area,,Single-KC,,KC64,,square-rect-area,,rectangle-area,,square-rect-area,,rectangle-area,,sq_rect-area,,rectangle-area,,rectangle-area,,area,,square-rect-area,,trapezoid-area,,,,0,0,f,0,parallelogram,quad,0,0,0,0,embedded,area,rectangle,0,1,rectangle,repeat,additional,0,No,
833,834,All Data,2364637ee55b80a44f0cce0408850321,Stu_22b2fcd580ae27d8b9a7a067d10825d0,GEO-408d5ed7:10e14be5d3a:-7657,1/31/96 19:04,US/Eastern,15.15115924,ATTEMPT,,RESULT,,Area,PAINTING_THE_WALL,1,00:38.3,(PAINTED-AREA QUESTION3),1,1,CORRECT,(PAINTED-AREA QUESTION3),,,,,,,Geometry,,compose-by-addition,,Single-KC,,KC91,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,compose-by-addition,,trapezoid-area,,,,a,1,no-f,0,0,0,0,0,0,0,embedded,area-difference,0,0,0,0,initial,additional,0,No,
6637,6638,All Data,1c5646a3c363069b9a98a841ec5ed3a9,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:21,US/Eastern,9.761883405,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(AREA QUESTION1),1,1,CORRECT,(AREA QUESTION1),,,,,,,Geometry,,triangle-area,,Single-KC,,KC68,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,alone,area,triangle,0,0,0,initial,required,0,Yes,
6639,6640,All Data,d324b5671326a8f9cac02d142a7e9322,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:21,US/Eastern,10.11824312,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(WHITE-AREA QUESTION1),1,1,CORRECT,(WHITE-AREA QUESTION1),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC66,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,required,0,Yes,
6641,6642,All Data,084382627d107ebfb0307ad89ffa245f,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:21,US/Eastern,9.728510183,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(GREEN-AREA QUESTION1),1,1,CORRECT,(GREEN-AREA QUESTION1),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC122,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,embedded,area-combination,0,0,0,0,initial,required,0,Yes,
6642,6643,All Data,304ef10927d4193e448812842e20f8aa,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:21,US/Eastern,14.10793512,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(PURPLE-AREA QUESTION1),1,1,CORRECT,(PURPLE-AREA QUESTION1),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC88,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,embedded,area-combination,0,0,0,0,initial,required,0,Yes,
6643,6644,All Data,acb5c9ec3baf830b76e32afa4fa1ff21,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:21,US/Eastern,12.72806029,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(AREA QUESTION2),1,1,CORRECT,(AREA QUESTION2),,,,,,,Geometry,,triangle-area,,Single-KC,,KC40,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,embedded,area,triangle,0,0,0,initial,required,0,Yes,
6644,6645,All Data,9d845e03031550e1bded67c4f8975b40,Stu_f11773c1237a0acdf4170202bf5b5c32,GEO-408d5ed7:10e14be5d3a:-70c9,1/31/96 19:22,US/Eastern,11.38106867,ATTEMPT,,RESULT,,Area,DESIGNING_A_QUILT,1,21:10.7,(WHITE-AREA QUESTION2),1,1,CORRECT,(WHITE-AREA QUESTION2),,,,,,,Geometry,,compose-by-multiplication,,Single-KC,,KC105,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,compose-by-multiplication,,,,m,0,no-f,0,0,0,0,0,0,0,alone,area-combination,0,0,0,0,initial,required,0,Yes,
